Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº de Concluintes Participantes;Nº de Concluintes Participantes com nota no Enem;Proporção de Concluintes participantes com nota no Enem;Nota Bruta - IDD;IDD (Contínuo);IDD (Faixa);Observação
2018;22;CIÊNCIAS CONTÁBEIS;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;767;Educação Presencial;4113700;LONDRINA;PR;100;89;74;0.831460674;0,06699;2,49959;3;
2018;18;PSICOLOGIA;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;773;Educação Presencial;4113700;LONDRINA;PR;60;60;57;0.95;0,09414;2,70631;3;
2018;67;SECRETARIADO EXECUTIVO;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;781;Educação Presencial;4113700;LONDRINA;PR;32;30;25;0.833333333;-0,48863;1,82162;2;
2018;2;DIREITO;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;857;Educação Presencial;4106902;CURITIBA;PR;371;302;241;0.798013245;-0,16555;2,44877;3;
2018;38;SERVIÇO SOCIAL;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;859;Educação Presencial;4106902;CURITIBA;PR;40;37;34;0.918918919;-1,02652;2,08837;3;
2018;18;PSICOLOGIA;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;866;Educação Presencial;4106902;CURITIBA;PR;173;149;126;0.845637584;0,19254;2,77411;3;
2018;18;PSICOLOGIA;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;952;Educação Presencial;2611606;RECIFE;PE;37;36;21;0.583333333;-0,87088;2,04138;3;
2018;38;SERVIÇO SOCIAL;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;957;Educação Presencial;2611606;RECIFE;PE;15;13;10;0.769230769;-1,40891;1,92953;2;
2018;13;CIÊNCIAS ECONÔMICAS;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;958;Educação Presencial;2611606;RECIFE;PE;20;17;15;0.882352941;0,53468;2,55102;3;
2018;22;CIÊNCIAS CONTÁBEIS;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;959;Educação Presencial;2611606;RECIFE;PE;45;43;30;0.697674419;-1,67480;1,76871;2;
2018;1;ADMINISTRAÇÃO;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;960;Educação Presencial;2611606;RECIFE;PE;136;135;120;0.888888889;-0,17152;2,48031;3;
2018;2;DIREITO;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;963;Educação Presencial;2611606;RECIFE;PE;688;626;572;0.913738019;-0,13182;2,47173;3;
2018;13;CIÊNCIAS ECONÔMICAS;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Pessoa Jurídica de Direito Público - Federal;1027;Educação Presencial;4315602;RIO GRANDE;RS;34;31;29;0.935483871;-0,62005;2,06217;3;
2018;1;ADMINISTRAÇÃO;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Pessoa Jurídica de Direito Público - Federal;1028;Educação Presencial;4315602;RIO GRANDE;RS;38;35;35;1;0,38473;2,71149;3;
2018;22;CIÊNCIAS CONTÁBEIS;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Pessoa Jurídica de Direito Público - Federal;1041;Educação Presencial;4315602;RIO GRANDE;RS;37;37;33;0.891891892;-0,70219;2,17683;3;
2018;38;SERVIÇO SOCIAL;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1098;Educação Presencial;4305108;CAXIAS DO SUL;RS;14;12;7;0.583333333;5,98296;5,00000;5;
2018;2;DIREITO;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1101;Educação Presencial;4305108;CAXIAS DO SUL;RS;336;288;163;0.565972222;-0,21225;2,41700;3;
2018;22;CIÊNCIAS CONTÁBEIS;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1103;Educação Presencial;4305108;CAXIAS DO SUL;RS;145;134;79;0.589552239;0,30046;2,59756;3;
2018;13;CIÊNCIAS ECONÔMICAS;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1104;Educação Presencial;4305108;CAXIAS DO SUL;RS;62;50;23;0.46;0,12925;2,37938;3;
2018;2;DIREITO;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1113;Educação Presencial;4322509;VACARIA;RS;70;59;46;0.779661017;-0,37164;2,30855;3;
2018;22;CIÊNCIAS CONTÁBEIS;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1121;Educação Presencial;4302105;BENTO GONCALVES;RS;54;51;27;0.529411765;1,35396;3,03963;4;
2018;2;DIREITO;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1124;Educação Presencial;4302105;BENTO GONCALVES;RS;132;112;58;0.517857143;0,48228;2,88956;3;
2018;2;DIREITO;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;1230;Educação Presencial;4318705;SAO LEOPOLDO;RS;403;348;225;0.646551724;-0,14604;2,46205;3;
2018;13;CIÊNCIAS ECONÔMICAS;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;1232;Educação Presencial;4318705;SAO LEOPOLDO;RS;40;32;19;0.59375;-0,01841;2,31687;3;
2018;22;CIÊNCIAS CONTÁBEIS;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;1233;Educação Presencial;4318705;SAO LEOPOLDO;RS;57;52;32;0.615384615;0,46280;2,66568;3;
2018;38;SERVIÇO SOCIAL;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;1242;Educação Presencial;4318705;SAO LEOPOLDO;RS;31;30;17;0.566666667;2,33543;3,48487;4;
